Entries,Categories ,Education,Subjects covered,Ques,Marks,Time(Mins),Marking System,Marking
Officer Entry,"NDA/ ACC
","12th in Arts, Commerce, Science",PAPER 1(MCQ),120,300,150 Mins,For every right answer,2.5 Marks
,,,Maths,120,300,,Negative Marks for every wrong answer,1/3 Marks
,,,PAPER 2(MCQ),150,600,150 Mins,For every right answer,4 Marks
,,,Section - A(Gen Ability),,,,Negative Marks for every wrong answer,1/3 Marks
,,,English,50,200,,,
,,,Section - B(Genl Knowledge),,,,,
,,,Physics,20,80,,,
,,,Chemistry,15,60,,,
,,,Biology,15,60,,,
,,,History,15,60,,,
,,,Geography,15,60,,,
,,,General Awareness,20,80,,,
Officer Entry,"CDS - Short Service Commission
","Graduation in Arts, Commerce, Science",PAPER 1(MCQ),100,100,120 Mins,For every right answer,1 Marks
,,,English,100,100,,Negative Marks for every wrong answer,1/3 Marks
,,,PAPER 2(MCQ),100,100,120 Mins,For every right answer,1 Marks
,,,Physics,15,15,,Negative Marks for every wrong answer,1/3 Marks
,,,Chemistry,15,15,,,
,,,Biology,15,15,,,
,,,History,15,15,,,
,,,Geography,10,10,,,
,,,Polity,10,10,,,
,,,Economics,10,10,,,
,,,General Awareness,10,10,,,
Officer Entry,"CDS - Permanent Commission
","Graduation in Arts, Commerce, Science",PAPER 1(MCQ),100,100,120 Mins,For every right answer,1 Marks
,,,English,100,100,,Negative Marks for every wrong answer,1/3 Marks
,,,PAPER 2(MCQ),100,100,120 Mins,For every right answer,1 Marks
,,,Physics,15,15,,Negative Marks for every wrong answer,1/3 Marks
,,,Chemistry,15,15,,,
,,,Biology,15,15,,,
,,,History,15,15,,,
,,,Geography,10,10,,,
,,,Polity,10,10,,,
,,,Economics,10,10,,,
,,,General Awareness,10,10,,,
,,,PAPER 3(MCQ),100,100,120 Mins,For every right answer,1 Marks
,,,Maths,100,100,,Negative Marks for every wrong answer,1/3 Marks
Officer Entry,"AFCAT
","Graduation in Arts, Commerce, Science",PAPER 1(MCQ),100,300,120 Mins,For every right answer,3 Marks
,,,Section - A(Gen English),,,,Negative Marks for every wrong answer,1 Marks
,,,English,20,60,,,
,,,Section - B(Gen Knowledge),,,,,
,,,Physics,5,15,,,
,,,Chemistry,5,15,,,
,,,Biology,5,15,,,
,,,History,5,15,,,
